order_id,email,order_date,order_value,vat_rate,suspected_fraud,country_code
5f870909-5356-4559-92d8-86563210b614,joanward@yahoo.co.uk,2025-01-08,1254.16,0.2,no,
637b9dc4-3d9a-4945-aeeb-eb9b0281ce63,leigh94@hotmail.com,2025-05-05,797.13,0.2,no,gb
39370036-abc6-4248-afa3-26a6519cd9ea,jodie54@myers.info,2024-10-21,1972.4,0.2,no,UK
a4c0f8be-c5d3-4c53-8333-8535b0c560cf,nicholas83@hotmail.com,2024-09-12,1171.8,0.2,no,gb
1856ee7b-b316-4a50-a803-d70f383c7e78,zhill@barnes.info,2025-02-24,2276.64,0.2,,GB
0c639fd3-6a43-4907-99e9-d4b414191ff5,hilary44@murphy.com,2025-04-15,1464.43,0.2,yes,G.B.
f6579854-b49b-4f4d-9f92-ffc91538bcf4,zgoddard@yahoo.co.uk,2025-07-10,454.45,,no,GB
c4ae5c6f-c8b6-4c6d-9d3c-a32b5258c954,jjames@wright.net ,2025-04-26,350.11,0.2,no,G.B.
c6323570-a073-4802-af16-16e48592ff01,roger56@baxter-smith.org,2025-05-07,2310.07,0.2,no,gb
dd66c0bd-0cdf-4eb0-806b-90aed4ac52c6,henry42@abbott.com,2024-10-20,2196.97,0.2,no,
f2c22b7c-1ed6-4341-8309-d0ebef90444e,stevensmith@slater-page.co.uk,2025-03-10,1056.59,0.2,no,GB
cf429bd5-2c20-435a-a24a-d263136d4f0e,iturner@patel.com,2025-01-20,2115.64,0.2,no,G.B.
e1a69f69-42a4-4079-86e8-72bc498dc7ad,kellysally@jones.net,2025-02-28,1336.68,0.2,no,G.B.
cf8b73ba-d884-47ba-8ee9-592d02181ea7,marianprice@outlook.com,2025-03-29,2842.15,0.2,yes,
8d88f08b-289e-4108-aaa3-3b37488e7712,joan84@yahoo.co.uk,2025-01-08,774.95,0.0,no,GB
d59c4667-2101-47ab-82d9-07e583efa4e3,bwebster@dean-sutton.com ,2025-07-06,1532.33,0.2,no,UK
dac4cccf-e757-457b-ba33-4b49536c4be0,kelly87@yahoo.co.uk,2025-06-06,1383.47,0.2,no,G.B.
39a24dda-1a84-4d50-a4b9-b64d5ab3c6b7,BMOSS@DAWSON.NET,2025-03-02,2241.27,0.2,no,GB
d617dc46-75a4-4ef5-97d1-e134c8cd0149,tclark@hotmail.com,2025-01-13,262.2,0.2,no,GB
3fb6ec6f-554b-4e15-ad40-6f141b9b5c74,vanessafrench@outlook.com,2025-04-03,815.98,0.2,,
74cee2d9-8ef7-4c61-933c-e553449f7ec5,knightlewis@yahoo.co.uk ,2025-07-27,2637.33,0.05,no,GB
462dc322-bfa5-4e1c-8fdf-90be24830b3f,katherinehughes@nelson-clark.co.uk ,2024-11-07,2589.52,0.2,yes,gb
df1dc64e-8f61-48ac-a650-e07ac10b77cd,DOMINIC78@ATKINSON-ANDREWS.COM,2024-12-26,1090.63,0.2,no,gb
2c3661a1-1efc-42c9-a51a-f9a7d3355cb4,campbelljoseph@yahoo.co.uk,2025-07-09,1187.34,0.2,no,gb
5eea7e71-453e-47bc-86d0-36a63358a1d3,stevensonedward@outlook.com,2024-11-30,2682.65,,no,
7b67f56b-5e4c-4feb-949e-356d2ed456ac,connor28@hotmail.co.uk,2025-06-21,2270.92,0.2,no,gb
f28e6a0f-d11f-44b3-a067-5401834496b6,sophiecollier@outlook.com,2025-02-12,2956.31,0.2,no,
40f0a8d5-d87f-4f9f-8048-9bf254f4ae64,davisglen@yahoo.com,2025-01-12,1830.34,0.2,no,
ae00de5c-2d9b-4448-82af-6a965f2add36,arthurbates@hotmail.co.uk,2025-05-13,2785.76,0.2,no,G.B.
e2b02957-e005-4829-b6b3-525b4ce2594f,timothygardner@hotmail.com,2025-05-03,387.9,,no,gb
96c3c561-fb98-4a83-a8f9-6dbf1b011496,janetjones@hotmail.com,2025-05-23,2868.9,0.2,no,UK
d95247e7-6c6d-49f0-8360-3594f61a2d04,bennettvanessa@ball.com,2025-06-09,413.6,0.2,no,G.B.
16246946-d963-4921-8e63-6a2ebae2704b,LEERACHEL@THOMSON-GOULD.CO.UK,2024-12-22,2149.21,0.05,no,UK
88a0aa6c-8871-402c-95f6-321a1708bfbe,sylvia90@yahoo.com,2025-05-11,2904.95,0.05,no,UK
118439f0-6f04-4b16-aaef-edf9cd18880b,xlee@birch-anderson.com,2025-05-10,2943.73,0.0,no,UK
584d8e08-4af6-47bd-925d-d2a9b7a89bb7,jonathan46@clark.com,2024-12-10,140.5,0.2,no,G.B.
1dfe7123-231e-4c75-844b-06237c4ef50d,bkelly@williams.com,2025-09-01,1943.18,0.2,no,G.B.
d370957f-852c-42b8-98c0-1e5d5076439c,michaelwalker@morgan.info,2025-04-02,1338.7,0.2,no,UK
6532bc69-b171-40cc-9864-5abf1801c359,MARTIN37@NICHOLSON.COM,2025-02-17,1126.81,0.2,no,
00b3648d-8321-4659-bcfd-b0c263acb926,natasha21@hotmail.co.uk,2025-06-01,2913.01,0.2,no,G.B.
3ba2a202-de09-4055-9435-511c0f6b4cca,hayleybarnes@collins-walker.com ,2024-09-21,1445.02,0.2,no,UK
